epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,860.983,0.42907,0.35956,0.90399,0.49052,0.2665,0.29495,0.19802,1.44431,3.01988,1.73662,6.85948e-05,6.85948e-05,6.85948e-05
140,865.582,0.436,0.35984,0.89766,0.4897,0.27982,0.28279,0.193,1.45766,2.94444,1.76732,6.35194e-05,6.35194e-05,6.35194e-05
141,876.367,0.39856,0.36184,0.87255,0.45589,0.29945,0.29116,0.20113,1.50372,2.94919,1.83438,5.8444e-05,5.8444e-05,5.8444e-05
142,880.821,0.3949,0.33518,0.86345,0.44129,0.29041,0.27731,0.19177,1.4921,3.01888,1.8219,5.33686e-05,5.33686e-05,5.33686e-05
143,885.335,0.36844,0.30604,0.85631,0.43309,0.26472,0.28813,0.20271,1.48038,3.00519,1.81938,4.82932e-05,4.82932e-05,4.82932e-05
144,889.728,0.39583,0.3307,0.86274,0.43454,0.25127,0.28939,0.20841,1.48346,2.9834,1.82283,4.32178e-05,4.32178e-05,4.32178e-05
145,893.968,0.35068,0.29905,0.84605,0.43902,0.24331,0.29385,0.20747,1.46314,2.97143,1.78213,3.81424e-05,3.81424e-05,3.81424e-05
146,898.502,0.35264,0.2946,0.847,0.3061,0.26989,0.30013,0.21407,1.45349,2.95506,1.75738,3.3067e-05,3.3067e-05,3.3067e-05
147,902.715,0.34644,0.29435,0.84158,0.26813,0.29372,0.30283,0.2132,1.45742,2.9573,1.762,2.79916e-05,2.79916e-05,2.79916e-05
148,907.452,0.32554,0.28122,0.83496,0.28124,0.29558,0.30167,0.21211,1.4693,2.96269,1.77347,2.29162e-05,2.29162e-05,2.29162e-05
149,911.633,0.34935,0.29429,0.85039,0.31455,0.29558,0.3006,0.20805,1.48025,2.99401,1.7877,1.78408e-05,1.78408e-05,1.78408e-05
150,915.792,0.34352,0.29173,0.82906,0.35938,0.29048,0.29828,0.20837,1.48941,3.01689,1.79776,1.27654e-05,1.27654e-05,1.27654e-05
